Test,Accuracy,Precision (0.0),Recall (0.0),F1-Score (0.0),Support (0.0),Precision (1.0),Recall (1.0),F1-Score (1.0),Support (1.0),Macro Avg Precision,Macro Avg Recall,Macro Avg F1-Score,Weighted Avg Precision,Weighted Avg Recall,Weighted Avg F1-Score,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Average Fold Accuracy,,1_4,LR,test split 1,a
1a,0.8297,0.85,0.97,0.9,37836,0.56,0.17,0.26,8121,0.7,0.57,0.58,0.79,0.83,0.79,0.8334,0.8321,0.8338,0.8316,0.8336,0.8329,,5_8,LRS,test split 2,b
1b,0.8295,0.84,0.97,0.9,47275,0.56,0.17,0.26,10171,0.7,0.57,0.58,0.79,0.83,0.79,0.8334,0.8321,0.8338,0.8316,0.8336,0.8329,,9_12,RFS,test split 3,c
1c,0.8293,0.84,0.97,0.9,56750,0.56,0.17,0.26,12185,0.7,0.57,0.58,0.79,0.83,0.79,0.8334,0.8321,0.8338,0.8316,0.8336,0.8329,,13_16,DT,Mean,d
1d,0.8295,0.843333333,0.97,0.9,47287,0.56,0.17,0.26,10159,0.7,0.57,0.58,0.79,0.83,0.79,0.8334,0.8321,0.8338,0.8316,0.8336,0.8329,,17_20,DTS,,
2a,0.7143,0.93,0.71,0.8,37836,0.35,0.74,0.48,8121,0.64,0.73,0.64,0.83,0.71,0.75,,,,,,,,21_24,GNB,,
2b,0.7133,0.93,0.71,0.8,47275,0.35,0.74,0.48,10171,0.64,0.72,0.64,0.83,0.71,0.74,,,,,,,,25_28,GNBS,,
2c,0.7122,0.93,0.71,0.8,56750,0.35,0.74,0.48,12185,0.64,0.72,0.64,0.83,0.71,0.74,,,,,,,,29_32,SVM,,
2d,0.713266667,0.93,0.71,0.8,47287,0.35,0.74,0.48,10159,0.64,0.723333333,0.64,0.83,0.71,0.743333333,,,,,,,,33_36,SVMS,,
3a,0.76,0.91,0.78,0.84,37934,0.38,0.64,0.48,8023,0.65,0.71,0.66,0.82,0.76,0.78,0.76,,,,,0.753333,,,,,
3b,0.75,0.91,0.78,0.84,47275,0.38,0.64,0.48,10171,0.65,0.71,0.66,0.82,0.75,0.77,,0.75,,,,0.753333,,,,,
3c,0.75,0.91,0.78,0.84,56750,0.38,0.64,0.48,12185,0.65,0.71,0.66,0.82,0.75,0.77,,,0.75,,,0.753333,,,,,
3d,0.753333333,0.91,0.78,0.84,47319.66667,0.38,0.64,0.48,10126.33333,0.65,0.71,0.66,0.82,0.753333333,0.773333333,0.253333333,0.25,0.25,0,0,0.753333,,,,,
4a,0.83,0.85,0.97,0.9,37836,0.56,0.18,0.28,8121,0.7,0.58,0.59,0.8,0.83,0.79,0.8336,0.8265,0.832,0.8284,0.8306,0.8302,,,,,
